building_name,city,province,region,country,window_count,window_type,access_method,service_type,frequency,labour_rate_cad,margin_pct,base_minutes_per_window,service_multiplier,access_multiplier,frequency_discount,total_labour_minutes,labour_cost_cad,materials_cost_cad,subtotal_cad,margin_amount_cad,final_price_cad,per_window_cost_cad,visits_per_year,annual_total_cad
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,monthly,26.0,30.0,6,0.45,1.0,0.8,32.4,11.23,0.9,12.13,3.64,15.77,1.31,12,189.24
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,monthly,26.0,35.0,6,0.45,1.0,0.8,32.4,11.23,0.9,12.13,4.25,16.38,1.36,12,196.52
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,monthly,26.0,40.0,6,0.45,1.0,0.8,32.4,11.23,0.9,12.13,4.85,16.98,1.42,12,203.79
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,weekly,20.0,25.0,6,0.45,1.0,0.7,32.4,7.56,0.6,8.16,2.04,10.21,0.85,52,530.71
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,weekly,20.0,30.0,6,0.45,1.0,0.7,32.4,7.56,0.6,8.16,2.45,10.61,0.88,52,551.94
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,weekly,20.0,35.0,6,0.45,1.0,0.7,32.4,7.56,0.6,8.16,2.86,11.02,0.92,52,573.17
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,weekly,20.0,40.0,6,0.45,1.0,0.7,32.4,7.56,0.6,8.16,3.27,11.43,0.95,52,594.4
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,weekly,22.0,25.0,6,0.45,1.0,0.7,32.4,8.32,0.67,8.98,2.25,11.23,0.94,52,583.78
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,weekly,22.0,30.0,6,0.45,1.0,0.7,32.4,8.32,0.67,8.98,2.69,11.68,0.97,52,607.13
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,weekly,22.0,35.0,6,0.45,1.0,0.7,32.4,8.32,0.67,8.98,3.14,12.12,1.01,52,630.49
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,weekly,22.0,40.0,6,0.45,1.0,0.7,32.4,8.32,0.67,8.98,3.59,12.57,1.05,52,653.84
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,weekly,24.0,25.0,6,0.45,1.0,0.7,32.4,9.07,0.73,9.8,2.45,12.25,1.02,52,636.85
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,weekly,24.0,30.0,6,0.45,1.0,0.7,32.4,9.07,0.73,9.8,2.94,12.74,1.06,52,662.33
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,weekly,24.0,35.0,6,0.45,1.0,0.7,32.4,9.07,0.73,9.8,3.43,13.23,1.1,52,687.8
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,weekly,24.0,40.0,6,0.45,1.0,0.7,32.4,9.07,0.73,9.8,3.92,13.72,1.14,52,713.28
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,weekly,26.0,25.0,6,0.45,1.0,0.7,32.4,9.83,0.79,10.61,2.65,13.27,1.11,52,689.93
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,weekly,26.0,30.0,6,0.45,1.0,0.7,32.4,9.83,0.79,10.61,3.18,13.8,1.15,52,717.52
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,weekly,26.0,35.0,6,0.45,1.0,0.7,32.4,9.83,0.79,10.61,3.71,14.33,1.19,52,745.12
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,interior_only,weekly,26.0,40.0,6,0.45,1.0,0.7,32.4,9.83,0.79,10.61,4.25,14.86,1.24,52,772.72
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,one_time,20.0,25.0,6,0.55,1.0,1.0,39.6,13.2,1.06,14.26,3.56,17.82,1.49,1,17.82
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,one_time,20.0,30.0,6,0.55,1.0,1.0,39.6,13.2,1.06,14.26,4.28,18.53,1.54,1,18.53
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,one_time,20.0,35.0,6,0.55,1.0,1.0,39.6,13.2,1.06,14.26,4.99,19.25,1.6,1,19.25
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,one_time,20.0,40.0,6,0.55,1.0,1.0,39.6,13.2,1.06,14.26,5.7,19.96,1.66,1,19.96
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,one_time,22.0,25.0,6,0.55,1.0,1.0,39.6,14.52,1.16,15.68,3.92,19.6,1.63,1,19.6
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,one_time,22.0,30.0,6,0.55,1.0,1.0,39.6,14.52,1.16,15.68,4.7,20.39,1.7,1,20.39
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,one_time,22.0,35.0,6,0.55,1.0,1.0,39.6,14.52,1.16,15.68,5.49,21.17,1.76,1,21.17
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,one_time,22.0,40.0,6,0.55,1.0,1.0,39.6,14.52,1.16,15.68,6.27,21.95,1.83,1,21.95
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,one_time,24.0,25.0,6,0.55,1.0,1.0,39.6,15.84,1.27,17.11,4.28,21.38,1.78,1,21.38
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,one_time,24.0,30.0,6,0.55,1.0,1.0,39.6,15.84,1.27,17.11,5.13,22.24,1.85,1,22.24
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,one_time,24.0,35.0,6,0.55,1.0,1.0,39.6,15.84,1.27,17.11,5.99,23.09,1.92,1,23.09
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,one_time,24.0,40.0,6,0.55,1.0,1.0,39.6,15.84,1.27,17.11,6.84,23.95,2.0,1,23.95
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,one_time,26.0,25.0,6,0.55,1.0,1.0,39.6,17.16,1.37,18.53,4.63,23.17,1.93,1,23.17
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,one_time,26.0,30.0,6,0.55,1.0,1.0,39.6,17.16,1.37,18.53,5.56,24.09,2.01,1,24.09
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,one_time,26.0,35.0,6,0.55,1.0,1.0,39.6,17.16,1.37,18.53,6.49,25.02,2.08,1,25.02
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,one_time,26.0,40.0,6,0.55,1.0,1.0,39.6,17.16,1.37,18.53,7.41,25.95,2.16,1,25.95
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,quarterly,20.0,25.0,6,0.55,1.0,0.9,39.6,11.88,0.95,12.83,3.21,16.04,1.34,4,64.15
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,quarterly,20.0,30.0,6,0.55,1.0,0.9,39.6,11.88,0.95,12.83,3.85,16.68,1.39,4,66.72
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,quarterly,20.0,35.0,6,0.55,1.0,0.9,39.6,11.88,0.95,12.83,4.49,17.32,1.44,4,69.28
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,quarterly,20.0,40.0,6,0.55,1.0,0.9,39.6,11.88,0.95,12.83,5.13,17.96,1.5,4,71.85
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,quarterly,22.0,25.0,6,0.55,1.0,0.9,39.6,13.07,1.05,14.11,3.53,17.64,1.47,4,70.57
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,quarterly,22.0,30.0,6,0.55,1.0,0.9,39.6,13.07,1.05,14.11,4.23,18.35,1.53,4,73.39
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,quarterly,22.0,35.0,6,0.55,1.0,0.9,39.6,13.07,1.05,14.11,4.94,19.05,1.59,4,76.21
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,quarterly,22.0,40.0,6,0.55,1.0,0.9,39.6,13.07,1.05,14.11,5.65,19.76,1.65,4,79.04
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,quarterly,24.0,25.0,6,0.55,1.0,0.9,39.6,14.26,1.14,15.4,3.85,19.25,1.6,4,76.98
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,quarterly,24.0,30.0,6,0.55,1.0,0.9,39.6,14.26,1.14,15.4,4.62,20.02,1.67,4,80.06
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,quarterly,24.0,35.0,6,0.55,1.0,0.9,39.6,14.26,1.14,15.4,5.39,20.79,1.73,4,83.14
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,quarterly,24.0,40.0,6,0.55,1.0,0.9,39.6,14.26,1.14,15.4,6.16,21.56,1.8,4,86.22
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,quarterly,26.0,25.0,6,0.55,1.0,0.9,39.6,15.44,1.24,16.68,4.17,20.85,1.74,4,83.4
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,quarterly,26.0,30.0,6,0.55,1.0,0.9,39.6,15.44,1.24,16.68,5.0,21.68,1.81,4,86.73
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,quarterly,26.0,35.0,6,0.55,1.0,0.9,39.6,15.44,1.24,16.68,5.84,22.52,1.88,4,90.07
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,quarterly,26.0,40.0,6,0.55,1.0,0.9,39.6,15.44,1.24,16.68,6.67,23.35,1.95,4,93.41
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,monthly,20.0,25.0,6,0.55,1.0,0.8,39.6,10.56,0.84,11.4,2.85,14.26,1.19,12,171.07
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,monthly,20.0,30.0,6,0.55,1.0,0.8,39.6,10.56,0.84,11.4,3.42,14.83,1.24,12,177.91
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,monthly,20.0,35.0,6,0.55,1.0,0.8,39.6,10.56,0.84,11.4,3.99,15.4,1.28,12,184.76
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,monthly,20.0,40.0,6,0.55,1.0,0.8,39.6,10.56,0.84,11.4,4.56,15.97,1.33,12,191.6
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,monthly,22.0,25.0,6,0.55,1.0,0.8,39.6,11.62,0.93,12.55,3.14,15.68,1.31,12,188.18
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,monthly,22.0,30.0,6,0.55,1.0,0.8,39.6,11.62,0.93,12.55,3.76,16.31,1.36,12,195.71
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,monthly,22.0,35.0,6,0.55,1.0,0.8,39.6,11.62,0.93,12.55,4.39,16.94,1.41,12,203.23
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,monthly,22.0,40.0,6,0.55,1.0,0.8,39.6,11.62,0.93,12.55,5.02,17.56,1.46,12,210.76
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,monthly,24.0,25.0,6,0.55,1.0,0.8,39.6,12.67,1.01,13.69,3.42,17.11,1.43,12,205.29
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,monthly,24.0,30.0,6,0.55,1.0,0.8,39.6,12.67,1.01,13.69,4.11,17.79,1.48,12,213.5
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,monthly,24.0,35.0,6,0.55,1.0,0.8,39.6,12.67,1.01,13.69,4.79,18.48,1.54,12,221.71
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,monthly,24.0,40.0,6,0.55,1.0,0.8,39.6,12.67,1.01,13.69,5.47,19.16,1.6,12,229.92
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,monthly,26.0,25.0,6,0.55,1.0,0.8,39.6,13.73,1.1,14.83,3.71,18.53,1.54,12,222.39
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,monthly,26.0,30.0,6,0.55,1.0,0.8,39.6,13.73,1.1,14.83,4.45,19.27,1.61,12,231.29
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,monthly,26.0,35.0,6,0.55,1.0,0.8,39.6,13.73,1.1,14.83,5.19,20.02,1.67,12,240.19
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,monthly,26.0,40.0,6,0.55,1.0,0.8,39.6,13.73,1.1,14.83,5.93,20.76,1.73,12,249.08
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,weekly,20.0,25.0,6,0.55,1.0,0.7,39.6,9.24,0.74,9.98,2.49,12.47,1.04,52,648.65
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,weekly,20.0,30.0,6,0.55,1.0,0.7,39.6,9.24,0.74,9.98,2.99,12.97,1.08,52,674.59
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,weekly,20.0,35.0,6,0.55,1.0,0.7,39.6,9.24,0.74,9.98,3.49,13.47,1.12,52,700.54
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,weekly,20.0,40.0,6,0.55,1.0,0.7,39.6,9.24,0.74,9.98,3.99,13.97,1.16,52,726.49
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,weekly,22.0,25.0,6,0.55,1.0,0.7,39.6,10.16,0.81,10.98,2.74,13.72,1.14,52,713.51
Retail Storefront - North Bay Downtown,North Bay,Ontario,Northern Ontario,Canada,12,storefront,ground_level,exterior_only,weekly,22.0,30.0,6,0.55,1.0,0.7,39.6,10.16,0.81,10.98,3.29,14.27,1.19,52,742.05
